grid_code,description,cell_count,candidate_cell_count,nominal_area_ha,side_length_m,neighbor_distance_m,shift_q_canonical_basis,shift_r_canonical_basis,vector_domain_support_total_ha,fixed_domain_area_ha,support_closure_relative_difference,minimum_support_fraction,median_support_fraction,maximum_support_fraction,cells_support_ge_10pct,cells_support_ge_25pct,cells_support_ge_50pct,cells_support_ge_75pct,cells_support_ge_90pct
hex10k_base,Half-area scale grid with canonical origin and orientation.,56520,205524,9999.7787321488104,6203.9637559884841,10745.580433687899,0,0,497776400.44342428,497776400.44341594,1.6871907733108135e-14,1.0982067796852726e-06,1.0000000000000138,1.0000000000000464,54409,52404,49716,47191,45258
hex20k_shift,Canonical-area grid shifted by half of both lattice basis vectors.,29396,104622,19999.557464297621,8773.7296841900406,15196.54558489239,0.5,0.5,497776400.44341731,497776400.44341594,2.7465896309710913e-15,0.082903891222160894,0.99999999999999856,1.0000000000000262,27577,27352,25015,22426,22158
hex40k_base,Double-area scale grid with canonical origin and orientation.,15309,53530,39999.114928595242,12407.927511976968,21491.160867375798,0,0,497776400.44341534,497776400.44341594,1.1771098418447535e-15,1.5596492948926134e-06,0.999999999999996,1.0000000000000133,14481,13759,12445,11160,10379
