boundary_scope,primary_biome,metric,measure_type,t0,t1,diagnostic_interval,cells,supported_cells,undefined_cells,nonzero_cells,value_sum,value_mean,value_median,value_q90,contribution_to_combined_domain_sum
primary_assignment,Amazon,consolidation_ha,absolute_area,2000,2005,0,14213,14213,0,2319,663322.40078996669,46.670118960808182,0,10.656120730936786,0.18928917839417511
primary_assignment,Amazon,consolidation_rate_initial_pasture,relative_intensity,2000,2005,0,14213,9436,4777,2319,232.80301662373958,0.024671790655334844,0,0.015151361491920879,
primary_assignment,Amazon,replenishment_ha,absolute_area,2000,2005,0,14213,14213,0,10085,10582774.599063933,744.58415528487535,78.158466084272249,2405.6080683329174,0.62524490351693363
primary_assignment,Amazon,replenishment_rate_initial_native,relative_intensity,2000,2005,0,14213,14213,0,10085,870.7792124503311,0.061266390800698733,0.0046856911131684742,0.21157236462241874,
primary_assignment,Amazon,nat_tmp_endpoint_ha,absolute_area,2000,2005,0,14213,14213,0,2295,890995.43865412788,62.688766527413485,0,6.3735444664955514,0.38826938469976752
primary_assignment,Amazon,nat_tmp_intensity_initial_native,relative_intensity,2000,2005,0,14213,14213,0,2295,62.820618131902975,0.0044199407677410103,0,0.0005253808805222714,
primary_assignment,Amazon,nat_tmp_pas_any_ha,trajectory_area,2000,2005,0,14213,14213,0,1521,50544.833878070029,3.5562396311876472,0,0.17573734968900706,0.3198237530302519
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,trajectory_share,2000,2005,0,14213,2295,11918,1521,535.54533748456595,0.23335308822856904,0.02849929585647094,1,
primary_assignment,Amazon,nat_tmp_pas_consecutive2_ha,trajectory_area,2000,2005,0,14213,14213,0,1445,47969.973440579313,3.3750772842172174,0,0.087529073655605333,0.31940948790200574
primary_assignment,Amazon,nat_tmp_pas_consecutive2_share_endpoint,trajectory_share,2000,2005,0,14213,2295,11918,1445,496.23026886879649,0.21622233937638191,0.018967305748443217,0.90029802564561467,
primary_assignment,Amazon,net_cr_balance_ha,signed_area,2000,2005,0,14213,14213,0,10088,-9919452.1982739661,-697.91403632406718,-52.456540875136852,0,0.7390703472988861
primary_assignment,Amazon,cr_balance_index,bounded_index,2000,2005,0,14213,10088,4125,10088,-9254.9611518416896,-0.91742279459176146,-1,-0.90812289419585679,
primary_assignment,Amazon,consolidation_ha,absolute_area,2005,2010,0,14213,14213,0,3029,797810.82120767992,56.132471765825649,0,36.600667254328982,0.28232176903787704
primary_assignment,Amazon,consolidation_rate_initial_pasture,relative_intensity,2005,2010,0,14213,10248,3965,3029,246.29631006116409,0.024033597781144039,0,0.027016133410316095,
