boundary_scope,primary_biome,metric,t0,t1,diagnostic_interval,supported_cells,excluded_biome_cells,components,islands,undirected_edges,s0,mean_neighbor_count,moran_i,expected_i,seed,permutations,status,p_two_sided,permutation_mean,permutation_sd,permutation_q025,permutation_q975,family,q_by,significant_by_005,combined_domain_moran_i,biome_minus_combined_moran_i
primary_assignment,Amazon,consolidation_ha,1985,1990,0,14213,0,264,163,35971,14050,5.0617040737353127,0.3247332882218098,-7.0363073459048689e-05,2001652119,9999,tested,0.0001,-4.2739333046348927e-05,0.0055046329026117984,-0.0039598113009705338,0.013362654327244603,primary_assignment__Amazon__primary,0.00041467814190168612,True,0.79922651011582524,-0.47449322189401544
primary_assignment,Amazon,consolidation_ha,1990,1995,0,14213,0,264,163,35971,14050,5.0617040737353127,0.36811425969078498,-7.0363073459048689e-05,555377523,9999,tested,0.0001,-0.00011268809784123055,0.005135989271851501,-0.0038963119289824322,0.010212066862884891,primary_assignment__Amazon__primary,0.00041467814190168612,True,0.7283859751837799,-0.36027171549299492
primary_assignment,Amazon,consolidation_ha,1995,2000,0,14213,0,264,163,35971,14050,5.0617040737353127,0.57833974727100512,-7.0363073459048689e-05,2553814150,9999,tested,0.0001,-0.00015284876636053596,0.0055419214043128271,-0.007936975426115149,0.013436261568332802,primary_assignment__Amazon__primary,0.00041467814190168612,True,0.65535481860225997,-0.077015071331254847
primary_assignment,Amazon,consolidation_ha,2000,2005,0,14213,0,264,163,35971,14050,5.0617040737353127,0.51051698650054622,-7.0363073459048689e-05,3030439507,9999,tested,0.0001,-6.4085898401496243e-05,0.0056208054494748388,-0.0090109723734610372,0.012871054407080557,primary_assignment__Amazon__primary,0.00041467814190168612,True,0.63850882586082902,-0.1279918393602828
primary_assignment,Amazon,consolidation_ha,2005,2010,0,14213,0,264,163,35971,14050,5.0617040737353127,0.58712547054553577,-7.0363073459048689e-05,3911237429,9999,tested,0.0001,-8.9652995939156017e-05,0.0055486948995813823,-0.0096109184364616372,0.011889154378665862,primary_assignment__Amazon__primary,0.00041467814190168612,True,0.61026573968071085,-0.023140269135175084
primary_assignment,Amazon,consolidation_ha,2010,2015,0,14213,0,264,163,35971,14050,5.0617040737353127,0.64234863081792481,-7.0363073459048689e-05,1885218688,9999,tested,0.0001,3.8877997195558489e-05,0.0056271110902436135,-0.010205196486914528,0.011759096740256337,primary_assignment__Amazon__primary,0.00041467814190168612,True,0.61811129094780481,0.02423733987012
primary_assignment,Amazon,consolidation_ha,2015,2020,0,14213,0,264,163,35971,14050,5.0617040737353127,0.55890135961729803,-7.0363073459048689e-05,1296958422,9999,tested,0.0001,-5.452737026330728e-05,0.0055685728250897785,-0.0099848281132621022,0.011606596991682105,primary_assignment__Amazon__primary,0.00041467814190168612,True,0.55919813037645894,-0.00029677075916090256
primary_assignment,Amazon,consolidation_ha,2020,2025,1,14213,0,264,163,35971,14050,5.0617040737353127,0.577420500482004,-7.0363073459048689e-05,2134232922,9999,tested,0.0001,-7.0849132283643077e-05,0.0055542508498639728,-0.010326093137186493,0.011719258743065114,primary_assignment__Amazon__diagnostic,0.00022833333333333334,True,0.55243997993413307,0.024980520547870921
primary_assignment,Amazon,replenishment_ha,1985,1990,0,14213,0,264,163,35971,14050,5.0617040737353127,0.75548141509710531,-7.0363073459048689e-05,1294942447,9999,tested,0.0001,-6.0330445356544754e-05,0.0056883026471074355,-0.01099730709115475,0.011431624723094358,primary_assignment__Amazon__primary,0.00041467814190168612,True,0.76997353894534548,-0.014492123848240168
primary_assignment,Amazon,replenishment_ha,1990,1995,0,14213,0,264,163,35971,14050,5.0617040737353127,0.76467868967406771,-7.0363073459048689e-05,874345494,9999,tested,0.0001,-0.00010112012306436379,0.0055546402345650614,-0.01090303348554764,0.010768651310250331,primary_assignment__Amazon__primary,0.00041467814190168612,True,0.73398923837299535,0.030689451301072368
primary_assignment,Amazon,replenishment_ha,1995,2000,0,14213,0,264,163,35971,14050,5.0617040737353127,0.72691364370772782,-7.0363073459048689e-05,1507893700,9999,tested,0.0001,-7.8422764859026187e-05,0.0055848776731828847,-0.01088286905434427,0.010897724372651491,primary_assignment__Amazon__primary,0.00041467814190168612,True,0.69995539590919065,0.026958247798537172
primary_assignment,Amazon,replenishment_ha,2000,2005,0,14213,0,264,163,35971,14050,5.0617040737353127,0.70243321876300269,-7.0363073459048689e-05,4169138880,9999,tested,0.0001,-6.8884854182778329e-05,0.0056618781547193514,-0.010969301930523421,0.011274510327109499,primary_assignment__Amazon__primary,0.00041467814190168612,True,0.68886855048481987,0.013564668278182812
primary_assignment,Amazon,replenishment_ha,2005,2010,0,14213,0,264,163,35971,14050,5.0617040737353127,0.6973808666165856,-7.0363073459048689e-05,3506127638,9999,tested,0.0001,-9.7537502181207288e-05,0.0055933252824117811,-0.010673118075117225,0.011220172311492501,primary_assignment__Amazon__primary,0.00041467814190168612,True,0.68112164434641165,0.016259222270173956
primary_assignment,Amazon,replenishment_ha,2010,2015,0,14213,0,264,163,35971,14050,5.0617040737353127,0.64476265817247258,-7.0363073459048689e-05,3489432153,9999,tested,0.0001,-0.00013967586400984516,0.005625574512464533,-0.011031457148290721,0.011292288020035353,primary_assignment__Amazon__primary,0.00041467814190168612,True,0.65928574016651964,-0.01452308199404706
primary_assignment,Amazon,replenishment_ha,2015,2020,0,14213,0,264,163,35971,14050,5.0617040737353127,0.6093022519682737,-7.0363073459048689e-05,162048688,9999,tested,0.0001,-7.7136146410920281e-05,0.0055947294472421518,-0.010619239695670867,0.01120490209618517,primary_assignment__Amazon__primary,0.00041467814190168612,True,0.61373079176485701,-0.0044285397965833084
primary_assignment,Amazon,replenishment_ha,2020,2025,1,14213,0,264,163,35971,14050,5.0617040737353127,0.57280310606175444,-7.0363073459048689e-05,2938568697,9999,tested,0.0001,-8.4010813626911562e-05,0.0055465166772265062,-0.010645934856068764,0.01144670818541728,primary_assignment__Amazon__diagnostic,0.00022833333333333334,True,0.58887918104450543,-0.016076074982750987
primary_assignment,Amazon,nat_tmp_endpoint_ha,1985,1990,0,14213,0,264,163,35971,14050,5.0617040737353127,0.43743786322479949,-7.0363073459048689e-05,653384301,9999,tested,0.0001,1.9773605935449076e-05,0.0055843758888587175,-0.0034887694455988431,0.013299958930811212,primary_assignment__Amazon__primary,0.00041467814190168612,True,0.55000710243244233,-0.11256923920764283
