boundary_scope,primary_biome,metric,t0,t1,diagnostic_interval,stage,cells,biome_cells,cell_fraction
primary_assignment,Amazon,consolidation_rate_initial_pasture,2010,2015,0,zero,6569,14213,0.46218250897066065
primary_assignment,Amazon,consolidation_rate_initial_pasture,2015,2020,0,positive_high,518,14213,0.036445507633856331
primary_assignment,Amazon,consolidation_rate_initial_pasture,2015,2020,0,positive_low,2281,14213,0.16048687821008936
primary_assignment,Amazon,consolidation_rate_initial_pasture,2015,2020,0,positive_moderate,1545,14213,0.10870329979596144
primary_assignment,Amazon,consolidation_rate_initial_pasture,2015,2020,0,undefined,3486,14213,0.24526841623865475
primary_assignment,Amazon,consolidation_rate_initial_pasture,2015,2020,0,zero,6383,14213,0.44909589812143813
primary_assignment,Amazon,consolidation_rate_initial_pasture,2020,2025,1,positive_high,415,14213,0.029198620980792234
primary_assignment,Amazon,consolidation_rate_initial_pasture,2020,2025,1,positive_low,2340,14213,0.16463800745796103
primary_assignment,Amazon,consolidation_rate_initial_pasture,2020,2025,1,positive_moderate,1427,14213,0.10040104130021811
primary_assignment,Amazon,consolidation_rate_initial_pasture,2020,2025,1,undefined,3194,14213,0.22472384436783227
primary_assignment,Amazon,consolidation_rate_initial_pasture,2020,2025,1,zero,6837,14213,0.48103848589319637
primary_assignment,Amazon,replenishment_ha,1985,1990,0,positive_high,849,14213,0.059734046295644834
primary_assignment,Amazon,replenishment_ha,1985,1990,0,positive_low,4487,14213,0.31569689720678251
primary_assignment,Amazon,replenishment_ha,1985,1990,0,positive_moderate,2434,14213,0.17125167100541758
primary_assignment,Amazon,replenishment_ha,1985,1990,0,zero,6443,14213,0.45331738549215506
primary_assignment,Amazon,replenishment_ha,1990,1995,0,positive_high,1657,14213,0.11658340955463309
primary_assignment,Amazon,replenishment_ha,1990,1995,0,positive_low,4544,14213,0.31970731020896365
primary_assignment,Amazon,replenishment_ha,1990,1995,0,positive_moderate,2455,14213,0.1727291915851685
primary_assignment,Amazon,replenishment_ha,1990,1995,0,zero,5557,14213,0.39098008865123479
primary_assignment,Amazon,replenishment_ha,1995,2000,0,positive_high,1935,14213,0.13614296770562162
primary_assignment,Amazon,replenishment_ha,1995,2000,0,positive_low,4364,14213,0.30704284809681276
primary_assignment,Amazon,replenishment_ha,1995,2000,0,positive_moderate,2971,14213,0.20903398297333428
primary_assignment,Amazon,replenishment_ha,1995,2000,0,zero,4943,14213,0.34778020122423131
primary_assignment,Amazon,replenishment_ha,2000,2005,0,positive_high,2151,14213,0.15134032224020263
primary_assignment,Amazon,replenishment_ha,2000,2005,0,positive_low,4390,14213,0.30887215929079015
primary_assignment,Amazon,replenishment_ha,2000,2005,0,positive_moderate,3544,14213,0.24934918736368114
primary_assignment,Amazon,replenishment_ha,2000,2005,0,zero,4128,14213,0.29043833110532613
