boundary_scope,primary_biome,metric,analysis_window,from_t0,from_t1,to_t0,to_t1,contains_diagnostic_interval,from_stage,to_stage,cells,source_cells,source_transition_fraction
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2000,2005,2005,2010,0,positive_high,positive_high,87,450,0.19333333333333333
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2000,2005,2005,2010,0,positive_high,positive_low,57,450,0.12666666666666668
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2000,2005,2005,2010,0,positive_high,positive_moderate,303,450,0.67333333333333334
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2000,2005,2005,2010,0,positive_high,zero,3,450,0.0066666666666666671
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2000,2005,2005,2010,0,positive_low,positive_high,4,1125,0.0035555555555555557
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2000,2005,2005,2010,0,positive_low,positive_low,449,1125,0.39911111111111114
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2000,2005,2005,2010,0,positive_low,positive_moderate,122,1125,0.10844444444444444
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2000,2005,2005,2010,0,positive_low,zero,550,1125,0.48888888888888887
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2000,2005,2005,2010,0,positive_moderate,positive_high,17,720,0.02361111111111111
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2000,2005,2005,2010,0,positive_moderate,positive_low,299,720,0.4152777777777778
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2000,2005,2005,2010,0,positive_moderate,positive_moderate,273,720,0.37916666666666665
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2000,2005,2005,2010,0,positive_moderate,zero,131,720,0.18194444444444444
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2000,2005,2005,2010,0,zero,positive_high,1,11918,8.39066957543212e-05
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2000,2005,2005,2010,0,zero,positive_low,586,11918,0.049169323712032219
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2000,2005,2005,2010,0,zero,positive_moderate,105,11918,0.0088102030542037257
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2000,2005,2005,2010,0,zero,zero,11226,11918,0.94193656653800972
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2005,2010,2010,2015,0,positive_high,positive_high,35,109,0.32110091743119268
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2005,2010,2010,2015,0,positive_high,positive_low,7,109,0.064220183486238536
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2005,2010,2010,2015,0,positive_high,positive_moderate,67,109,0.61467889908256879
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2005,2010,2010,2015,0,positive_low,positive_high,34,1391,0.024442846872753415
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2005,2010,2010,2015,0,positive_low,positive_low,618,1391,0.44428468727534148
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2005,2010,2010,2015,0,positive_low,positive_moderate,388,1391,0.27893601725377426
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2005,2010,2010,2015,0,positive_low,zero,351,1391,0.25233644859813081
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2005,2010,2010,2015,0,positive_moderate,positive_high,97,803,0.12079701120797011
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2005,2010,2010,2015,0,positive_moderate,positive_low,162,803,0.20174346201743462
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2005,2010,2010,2015,0,positive_moderate,positive_moderate,502,803,0.62515566625155661
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2005,2010,2010,2015,0,positive_moderate,zero,42,803,0.052303860523038606
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2005,2010,2010,2015,0,zero,positive_high,9,11910,0.0007556675062972292
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2005,2010,2010,2015,0,zero,positive_low,906,11910,0.076070528967254414
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2005,2010,2010,2015,0,zero,positive_moderate,239,11910,0.020067170445004199
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2005,2010,2010,2015,0,zero,zero,10756,11910,0.90310663308144412
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2010,2015,2015,2020,0,positive_high,positive_high,49,175,0.28000000000000003
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2010,2015,2015,2020,0,positive_high,positive_low,11,175,0.062857142857142861
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2010,2015,2015,2020,0,positive_high,positive_moderate,115,175,0.65714285714285714
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2010,2015,2015,2020,0,positive_low,positive_high,18,1693,0.010632014176018901
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2010,2015,2015,2020,0,positive_low,positive_low,814,1693,0.48080330773774366
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2010,2015,2015,2020,0,positive_low,positive_moderate,303,1693,0.1789722386296515
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2010,2015,2015,2020,0,positive_low,zero,558,1693,0.32959243945658595
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2010,2015,2015,2020,0,positive_moderate,positive_high,98,1196,0.08193979933110368
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2010,2015,2015,2020,0,positive_moderate,positive_low,344,1196,0.28762541806020064
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2010,2015,2015,2020,0,positive_moderate,positive_moderate,699,1196,0.58444816053511706
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2010,2015,2015,2020,0,positive_moderate,zero,55,1196,0.045986622073578592
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2010,2015,2015,2020,0,zero,positive_high,4,11149,0.00035877657188985562
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2010,2015,2015,2020,0,zero,positive_low,789,11149,0.070768678805274016
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2010,2015,2015,2020,0,zero,positive_moderate,123,11149,0.01103237958561306
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,2010,2015,2015,2020,0,zero,zero,10233,11149,0.9178401650372231
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1985,1990,1990,1995,0,positive_high,positive_high,31,52,0.59615384615384615
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1985,1990,1990,1995,0,positive_high,positive_low,5,52,0.096153846153846159
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1985,1990,1990,1995,0,positive_high,positive_moderate,15,52,0.28846153846153844
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1985,1990,1990,1995,0,positive_high,zero,1,52,0.019230769230769232
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1985,1990,1990,1995,0,positive_low,positive_high,13,505,0.025742574257425741
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1985,1990,1990,1995,0,positive_low,positive_low,180,505,0.35643564356435642
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1985,1990,1990,1995,0,positive_low,positive_moderate,121,505,0.23960396039603959
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1985,1990,1990,1995,0,positive_low,zero,191,505,0.37821782178217822
