boundary_scope,primary_biome,metric,t0,t1,diagnostic_interval,lisa_class,cells,biome_cells,supported_cells,class_share_of_biome_cells,class_share_of_supported_cells,metric_value_sum
primary_assignment,Amazon,consolidation_ha,2020,2025,1,island,0,14213,14213,0,0,0
primary_assignment,Amazon,consolidation_ha,2020,2025,1,not_applicable,0,14213,14213,0,,0
primary_assignment,Amazon,cr_balance_index,1985,1990,0,HH,40,14213,7774,0.0028143249138112996,0.0051453563159248776,-2.8110687304219524
primary_assignment,Amazon,cr_balance_index,1985,1990,0,LL,988,14213,7774,0.069513825371139093,0.12709030100334448,-987.86402356134965
primary_assignment,Amazon,cr_balance_index,1985,1990,0,HL,4,14213,7774,0.00028143249138112993,0.00051453563159248783,-0.79404232526703844
primary_assignment,Amazon,cr_balance_index,1985,1990,0,LH,16,14213,7774,0.0011257299655245197,0.0020581425263699513,-15.875323729112894
primary_assignment,Amazon,cr_balance_index,1985,1990,0,not_significant,6726,14213,7774,0.47322873425737,0.86519166452276819,-6630.5044960724208
primary_assignment,Amazon,cr_balance_index,1985,1990,0,island,0,14213,7774,0,0,0
primary_assignment,Amazon,cr_balance_index,1985,1990,0,not_applicable,6439,14213,7774,0.45303595300077393,,0
primary_assignment,Amazon,cr_balance_index,1990,1995,0,HH,36,14213,8658,0.0025328924224301695,0.0041580041580041582,3.1107905437362571
primary_assignment,Amazon,cr_balance_index,1990,1995,0,LL,5,14213,8658,0.00035179061422641245,0.00057750057750057752,-4.9132625754234907
primary_assignment,Amazon,cr_balance_index,1990,1995,0,HL,3,14213,8658,0.00021107436853584746,0.0003465003465003465,-1.8657667038717793
primary_assignment,Amazon,cr_balance_index,1990,1995,0,LH,14,14213,8658,0.00098501371983395489,0.001617001617001617,-13.252634770460043
primary_assignment,Amazon,cr_balance_index,1990,1995,0,not_significant,8600,14213,8658,0.60507985646942941,0.99330099330099331,-8408.868838067403
primary_assignment,Amazon,cr_balance_index,1990,1995,0,island,0,14213,8658,0,0,0
primary_assignment,Amazon,cr_balance_index,1990,1995,0,not_applicable,5555,14213,8658,0.39083937240554423,,0
primary_assignment,Amazon,cr_balance_index,1995,2000,0,HH,53,14213,9272,0.003728980510799972,0.0057161345987920623,3.9214589351346234
primary_assignment,Amazon,cr_balance_index,1995,2000,0,LL,20,14213,9272,0.0014071624569056498,0.0021570319240724763,-19.906383036372532
primary_assignment,Amazon,cr_balance_index,1995,2000,0,HL,5,14213,9272,0.00035179061422641245,0.00053925798101811908,-2.5632018948936666
primary_assignment,Amazon,cr_balance_index,1995,2000,0,LH,6,14213,9272,0.00042214873707169492,0.00064710957722174283,-5.7222550074954937
primary_assignment,Amazon,cr_balance_index,1995,2000,0,not_significant,9188,14213,9272,0.6464504327024555,0.99094046591889562,-8924.2380604716691
primary_assignment,Amazon,cr_balance_index,1995,2000,0,island,0,14213,9272,0,0,0
primary_assignment,Amazon,cr_balance_index,1995,2000,0,not_applicable,4941,14213,9272,0.34763948497854075,,0
primary_assignment,Amazon,cr_balance_index,2000,2005,0,HH,229,14213,10088,0.016112010131569689,0.022700237906423473,88.611105592806865
primary_assignment,Amazon,cr_balance_index,2000,2005,0,LL,55,14213,10088,0.003869696756490537,0.0054520222045995239,-54.463356520917756
primary_assignment,Amazon,cr_balance_index,2000,2005,0,HL,0,14213,10088,0,0,0
primary_assignment,Amazon,cr_balance_index,2000,2005,0,LH,24,14213,10088,0.0016885949482867797,0.0023790642347343376,-21.805638847959074
primary_assignment,Amazon,cr_balance_index,2000,2005,0,not_significant,9780,14213,10088,0.68810244142686272,0.96946867565424266,-9267.3032620656195
primary_assignment,Amazon,cr_balance_index,2000,2005,0,island,0,14213,10088,0,0,0
primary_assignment,Amazon,cr_balance_index,2000,2005,0,not_applicable,4125,14213,10088,0.29022725673679028,,0
primary_assignment,Amazon,cr_balance_index,2005,2010,0,HH,660,14213,10299,0.046436361077886443,0.064083891639965043,382.33455679101746
primary_assignment,Amazon,cr_balance_index,2005,2010,0,LL,17,14213,10299,0.0011960880883698022,0.0016506456937566754,-16.558545226902272
primary_assignment,Amazon,cr_balance_index,2005,2010,0,HL,5,14213,10299,0.00035179061422641245,0.00048548402757549278,1.403486648410921
primary_assignment,Amazon,cr_balance_index,2005,2010,0,LH,39,14213,10299,0.0027439667909660171,0.0037867754150888435,-33.420134257727639
primary_assignment,Amazon,cr_balance_index,2005,2010,0,not_significant,9578,14213,10299,0.67389010061211563,0.9299932032236139,-8874.6352315912081
primary_assignment,Amazon,cr_balance_index,2005,2010,0,island,0,14213,10299,0,0,0
primary_assignment,Amazon,cr_balance_index,2005,2010,0,not_applicable,3914,14213,10299,0.27538169281643565,,0
primary_assignment,Amazon,cr_balance_index,2010,2015,0,HH,1156,14213,10448,0.081333990009146553,0.11064318529862174,792.69224427403242
primary_assignment,Amazon,cr_balance_index,2010,2015,0,LL,3256,14213,10448,0.22908604798423979,0.31163859111791731,-3249.9267173050202
primary_assignment,Amazon,cr_balance_index,2010,2015,0,HL,9,14213,10448,0.00063322310560754238,0.00086140888208269522,1.6984411637385892
primary_assignment,Amazon,cr_balance_index,2010,2015,0,LH,60,14213,10448,0.0042214873707169497,0.0057427258805513018,-49.987843845106376
primary_assignment,Amazon,cr_balance_index,2010,2015,0,not_significant,5967,14213,10448,0.41982691901780061,0.57111408882082693,-4927.8617347289164
primary_assignment,Amazon,cr_balance_index,2010,2015,0,island,0,14213,10448,0,0,0
primary_assignment,Amazon,cr_balance_index,2010,2015,0,not_applicable,3765,14213,10448,0.26489833251248857,,0
primary_assignment,Amazon,cr_balance_index,2015,2020,0,HH,1192,14213,10754,0.083866882431576723,0.11084247721777943,732.44022300741653
primary_assignment,Amazon,cr_balance_index,2015,2020,0,LL,3591,14213,10754,0.25265601913740943,0.33392226148409893,-3579.5069102522702
primary_assignment,Amazon,cr_balance_index,2015,2020,0,HL,6,14213,10754,0.00042214873707169492,0.00055793193230425887,0.4274976665851547
primary_assignment,Amazon,cr_balance_index,2015,2020,0,LH,87,14213,10754,0.0061211566875395765,0.0080900130184117531,-69.5635641683822
primary_assignment,Amazon,cr_balance_index,2015,2020,0,not_significant,5878,14213,10754,0.41356504608457045,0.54658731634740565,-4602.2684106702291
primary_assignment,Amazon,cr_balance_index,2015,2020,0,island,0,14213,10754,0,0,0
primary_assignment,Amazon,cr_balance_index,2015,2020,0,not_applicable,3459,14213,10754,0.24336874692183214,,0
primary_assignment,Amazon,cr_balance_index,2020,2025,1,HH,1138,14213,11506,0.080067543797931476,0.09890491917260559,539.73605207605135
primary_assignment,Amazon,cr_balance_index,2020,2025,1,LL,3532,14213,11506,0.24850488988953776,0.30697027637754215,-3528.2169191821831
primary_assignment,Amazon,cr_balance_index,2020,2025,1,HL,8,14213,11506,0.00056286498276225986,0.00069528941421866856,0.6574510180042934
primary_assignment,Amazon,cr_balance_index,2020,2025,1,LH,102,14213,11506,0.0071765285302188139,0.0088649400312880242,-90.682766582666829
primary_assignment,Amazon,cr_balance_index,2020,2025,1,not_significant,6726,14213,11506,0.47322873425737,0.58456457500434555,-5792.2133102201497
primary_assignment,Amazon,cr_balance_index,2020,2025,1,island,0,14213,11506,0,0,0
primary_assignment,Amazon,cr_balance_index,2020,2025,1,not_applicable,2707,14213,11506,0.1904594385421797,,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,1985,1990,0,HH,30,14213,14213,0.0021107436853584748,0.0021107436853584748,35733.915485765596
primary_assignment,Amazon,nat_tmp_endpoint_ha,1985,1990,0,LL,1645,14213,14213,0.11573911208048969,0.11573911208048969,104.34998160600662
primary_assignment,Amazon,nat_tmp_endpoint_ha,1985,1990,0,HL,0,14213,14213,0,0,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,1985,1990,0,LH,2,14213,14213,0.00014071624569056497,0.00014071624569056497,37.853373709730079
primary_assignment,Amazon,nat_tmp_endpoint_ha,1985,1990,0,not_significant,12536,14213,14213,0.88200942798846127,0.88200942798846127,44962.992183074821
primary_assignment,Amazon,nat_tmp_endpoint_ha,1985,1990,0,island,0,14213,14213,0,0,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,1985,1990,0,not_applicable,0,14213,14213,0,,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,1990,1995,0,HH,57,14213,14213,0.0040104130021811017,0.0040104130021811017,58917.640195086984
primary_assignment,Amazon,nat_tmp_endpoint_ha,1990,1995,0,LL,1634,14213,14213,0.11496517272919159,0.11496517272919159,36.428344041518137
primary_assignment,Amazon,nat_tmp_endpoint_ha,1990,1995,0,HL,0,14213,14213,0,0,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,1990,1995,0,LH,6,14213,14213,0.00042214873707169492,0.00042214873707169492,46.020655608060309
primary_assignment,Amazon,nat_tmp_endpoint_ha,1990,1995,0,not_significant,12516,14213,14213,0.88060226553155563,0.88060226553155563,66653.643523051898
primary_assignment,Amazon,nat_tmp_endpoint_ha,1990,1995,0,island,0,14213,14213,0,0,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,1990,1995,0,not_applicable,0,14213,14213,0,,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,1995,2000,0,HH,156,14213,14213,0.010975867163864068,0.010975867163864068,224547.40608075191
primary_assignment,Amazon,nat_tmp_endpoint_ha,1995,2000,0,LL,9773,14213,14213,0.68760993456694575,0.68760993456694575,600.0559626147151
primary_assignment,Amazon,nat_tmp_endpoint_ha,1995,2000,0,HL,4,14213,14213,0.00028143249138112993,0.00028143249138112993,222.39609833061695
primary_assignment,Amazon,nat_tmp_endpoint_ha,1995,2000,0,LH,27,14213,14213,0.0018996693168226273,0.0018996693168226273,283.17580449437975
primary_assignment,Amazon,nat_tmp_endpoint_ha,1995,2000,0,not_significant,4253,14213,14213,0.29923309646098645,0.29923309646098645,74672.361526390188
primary_assignment,Amazon,nat_tmp_endpoint_ha,1995,2000,0,island,0,14213,14213,0,0,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,1995,2000,0,not_applicable,0,14213,14213,0,,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,2000,2005,0,HH,182,14213,14213,0.012805178357841413,0.012805178357841413,494712.25599890057
