interval,t0,t1,diagnostic_interval,cells,cells_with_consolidation,cells_with_replenishment,cells_with_cr_activity,cells_with_both_processes,cells_below_99pct_valid_support,consolidation_ha,replenishment_ha,nat_to_tmp_endpoint_flow_ha,gross_cr_activity_ha,net_cr_balance_ha,aggregate_cr_balance_index,median_active_cell_cr_balance_index,aggregate_consolidation_rate_initial_pasture,aggregate_replenishment_rate_initial_native,pas_tmp_censored_ha,pas_tmp_censored_share,pas_tmp_new_ha,pas_tmp_new_share,pas_tmp_unresolved_age_ha,pas_tmp_unresolved_age_share,pas_tmp_unattributed_age_ha,pas_tmp_unattributed_age_share
1985_1990,1985,1990,0,24889,4935,17612,17626,4921,511,1450003.9793995263,16427491.784646017,1401980.357587825,17877495.764045544,-14977487.805246491,-0.8377844415641577,-1.0,0.029570270959357912,0.0396259120657605,1450003.9793995263,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1990_1995,1990,1995,0,24889,6395,18690,18713,6372,511,1638736.6055299283,16853719.73917514,1181098.6718347662,18492456.344705068,-15214983.133645212,-0.822767016454345,-1.0,0.024917999434407628,0.04252151989904813,1163701.3381784928,0.7101210372988401,475032.6558038536,0.28987736906642136,2.6115475818514824,1.5936347385167309e-06,0.0,0.0
1995_2000,1995,2000,0,24889,7697,19421,19453,7665,512,1809550.1348431888,15646525.355227975,1224712.5983905098,17456075.490071163,-13836975.220384786,-0.792673887567404,-1.0,0.022739626821765634,0.04133798955990175,1104693.3474775532,0.610479547488903,704845.8153661541,0.38951438912591074,10.971999481320381,6.063385186214356e-06,0.0,0.0
2000_2005,2000,2005,0,24889,8942,20361,20394,8909,512,3504280.6272245864,16925807.055022754,2294786.7479767725,20430087.68224734,-13421526.427798167,-0.6569490369569367,-1.0,0.038084438696048474,0.04664957347121692,1885734.7721567068,0.5381232192155287,1618511.732082686,0.461867043269465,34.122985194652685,9.737515006518846e-06,0.0,0.0
2005_2010,2005,2010,0,24889,10487,20591,20642,10436,511,2825891.973993134,10058052.561758481,945225.118068057,12883944.535751615,-7232160.587765347,-0.5613312419730502,-0.9989957811318689,0.02743415809655755,0.029155538111485132,1352159.0267475764,0.4784892838054614,1473699.450363858,0.5214988626339608,33.49688169935755,1.1853560577556224e-05,0.0,0.0
2010_2015,2010,2015,0,24889,11980,20805,20860,11925,511,4974529.591197178,8697568.465930598,1362409.8421371325,13672098.057127776,-3723038.87473342,-0.2723092578166861,-0.9787700503795027,0.04659536487985035,0.025881023027358594,1991031.8248185036,0.40024524697607416,2983457.6539053125,0.5997466894527628,40.112473361194134,8.063571163025408e-06,0.0,0.0
2015_2020,2015,2020,0,24889,12845,21124,21206,12763,511,3916475.1863848125,9016705.139974773,740590.962133769,12933180.326359585,-5100229.953589961,-0.3943523421841569,-0.9568088307123492,0.03688704673486843,0.027398933177794564,1460446.5332425009,0.37289819639853194,2455998.9541052133,0.6270942204978647,29.69903709824179,7.583103603333724e-06,0.0,0.0
2020_2025,2020,2025,1,24889,12463,21969,22050,12382,511,2086326.7500292982,10038550.153936725,681863.8261414376,12124876.903966023,-7952223.403907427,-0.6558601350671256,-0.9943309967942191,0.019562412473143265,0.03129284054691289,631043.8593975437,0.3024664566030618,1455257.185142173,0.6975212224651468,25.705489581794133,1.2320931791452682e-05,0.0,0.0
