grid_code,support_scope,t0,t1,interval,diagnostic_interval,metric,selected_cells,defined_cells,selected_support_ha,defined_support_ha,defined_support_fraction,weighted_mean,weighted_std,q00,q10,q25,q50,q75,q90,q99,q100
hex20k_canonical,primary_ge_50pct,1985,1990,1985_1990,0,consolidation_density_per_10kha,24889,24889,497776400.4434159,497776400.4434159,1.0,29.129624829700095,146.4463602518157,0.0,0.0,0.0,0.0,0.0,26.542212863983487,695.3725376868932,2984.7580113439344
hex20k_canonical,primary_ge_50pct,1985,1990,1985_1990,0,replenishment_density_per_10kha,24889,24889,497776400.4434159,497776400.4434159,1.0,330.0174891781233,535.2239716269153,0.0,0.0,0.0,50.801178623799565,482.34542203007095,1042.1943281332715,2332.836094862776,6331.853422632467
hex20k_canonical,primary_ge_50pct,1985,1990,1985_1990,0,nat_tmp_density_per_10kha,24889,24889,497776400.4434159,497776400.4434159,1.0,28.16486190062316,161.58867964496747,0.0,0.0,0.0,0.0,0.0,23.500926957911073,727.4671590969191,4574.090666130184
hex20k_canonical,primary_ge_50pct,1985,1990,1985_1990,0,net_cr_balance_density_per_10kha,24889,24889,497776400.4434159,497776400.4434159,1.0,-300.8878643484232,546.1434469378744,-6331.853422632467,-1013.0630767273207,-441.242958593112,-33.59956763248655,0.0,0.0,432.19658603836064,2642.430888847279
hex20k_canonical,primary_ge_50pct,1985,1990,1985_1990,0,cr_balance_index,24889,17626,497776400.4434159,352517450.4695679,0.7081843376977046,-0.8910051693999765,0.33450529081383223,-1.0,-1.0,-1.0,-1.0,-0.9969072754297538,-0.7027742055113158,0.7767025780059371,1.0
hex20k_canonical,primary_ge_50pct,1985,1990,1985_1990,0,consolidation_rate_initial_pasture,24889,16421,497776400.4434159,328417621.74968463,0.6597693692532077,0.024978618067512098,0.0948335121939946,0.0,0.0,0.0,0.0,0.0011035955795585203,0.04989476068879784,0.5228774120999695,1.0
hex20k_canonical,primary_ge_50pct,1985,1990,1985_1990,0,replenishment_rate_initial_native,24889,24885,497776400.4434159,497696401.2681242,0.9998392869263782,0.055679969771847304,0.09329571195044403,0.0,0.0,0.0,0.005999449357502428,0.07613151740645152,0.19040167888973286,0.39996389773723134,1.0
hex20k_canonical,primary_ge_50pct,1985,1990,1985_1990,0,nat_tmp_intensity_initial_native,24889,24885,497776400.4434159,497696401.2681242,0.9998392869263782,0.004908708773483446,0.024995001517347626,0.0,0.0,0.0,0.0,0.0,0.004683249641022812,0.11809362792466914,0.6613392092440042
hex20k_canonical,sensitivity_ge_25pct,1985,1990,1985_1990,0,consolidation_density_per_10kha,24889,24889,497776400.4434159,497776400.4434159,1.0,29.129624829700095,146.4463602518157,0.0,0.0,0.0,0.0,0.0,26.542212863983487,695.3725376868932,2984.7580113439344
hex20k_canonical,sensitivity_ge_25pct,1985,1990,1985_1990,0,replenishment_density_per_10kha,24889,24889,497776400.4434159,497776400.4434159,1.0,330.0174891781233,535.2239716269153,0.0,0.0,0.0,50.801178623799565,482.34542203007095,1042.1943281332715,2332.836094862776,6331.853422632467
hex20k_canonical,sensitivity_ge_25pct,1985,1990,1985_1990,0,nat_tmp_density_per_10kha,24889,24889,497776400.4434159,497776400.4434159,1.0,28.16486190062316,161.58867964496747,0.0,0.0,0.0,0.0,0.0,23.500926957911073,727.4671590969191,4574.090666130184
hex20k_canonical,sensitivity_ge_25pct,1985,1990,1985_1990,0,net_cr_balance_density_per_10kha,24889,24889,497776400.4434159,497776400.4434159,1.0,-300.8878643484232,546.1434469378744,-6331.853422632467,-1013.0630767273207,-441.242958593112,-33.59956763248655,0.0,0.0,432.19658603836064,2642.430888847279
hex20k_canonical,sensitivity_ge_25pct,1985,1990,1985_1990,0,cr_balance_index,24889,17626,497776400.4434159,352517450.4695679,0.7081843376977046,-0.8910051693999765,0.33450529081383223,-1.0,-1.0,-1.0,-1.0,-0.9969072754297538,-0.7027742055113158,0.7767025780059371,1.0
hex20k_canonical,sensitivity_ge_25pct,1985,1990,1985_1990,0,consolidation_rate_initial_pasture,24889,16421,497776400.4434159,328417621.74968463,0.6597693692532077,0.024978618067512098,0.0948335121939946,0.0,0.0,0.0,0.0,0.0011035955795585203,0.04989476068879784,0.5228774120999695,1.0
hex20k_canonical,sensitivity_ge_25pct,1985,1990,1985_1990,0,replenishment_rate_initial_native,24889,24885,497776400.4434159,497696401.2681242,0.9998392869263782,0.055679969771847304,0.09329571195044403,0.0,0.0,0.0,0.005999449357502428,0.07613151740645152,0.19040167888973286,0.39996389773723134,1.0
hex20k_canonical,sensitivity_ge_25pct,1985,1990,1985_1990,0,nat_tmp_intensity_initial_native,24889,24885,497776400.4434159,497696401.2681242,0.9998392869263782,0.004908708773483446,0.024995001517347626,0.0,0.0,0.0,0.0,0.0,0.004683249641022812,0.11809362792466914,0.6613392092440042
hex20k_canonical,sensitivity_ge_75pct,1985,1990,1985_1990,0,consolidation_density_per_10kha,24889,24889,497776400.4434159,497776400.4434159,1.0,29.129624829700095,146.4463602518157,0.0,0.0,0.0,0.0,0.0,26.542212863983487,695.3725376868932,2984.7580113439344
hex20k_canonical,sensitivity_ge_75pct,1985,1990,1985_1990,0,replenishment_density_per_10kha,24889,24889,497776400.4434159,497776400.4434159,1.0,330.0174891781233,535.2239716269153,0.0,0.0,0.0,50.801178623799565,482.34542203007095,1042.1943281332715,2332.836094862776,6331.853422632467
hex20k_canonical,sensitivity_ge_75pct,1985,1990,1985_1990,0,nat_tmp_density_per_10kha,24889,24889,497776400.4434159,497776400.4434159,1.0,28.16486190062316,161.58867964496747,0.0,0.0,0.0,0.0,0.0,23.500926957911073,727.4671590969191,4574.090666130184
hex20k_canonical,sensitivity_ge_75pct,1985,1990,1985_1990,0,net_cr_balance_density_per_10kha,24889,24889,497776400.4434159,497776400.4434159,1.0,-300.8878643484232,546.1434469378744,-6331.853422632467,-1013.0630767273207,-441.242958593112,-33.59956763248655,0.0,0.0,432.19658603836064,2642.430888847279
hex20k_canonical,sensitivity_ge_75pct,1985,1990,1985_1990,0,cr_balance_index,24889,17626,497776400.4434159,352517450.4695679,0.7081843376977046,-0.8910051693999765,0.33450529081383223,-1.0,-1.0,-1.0,-1.0,-0.9969072754297538,-0.7027742055113158,0.7767025780059371,1.0
hex20k_canonical,sensitivity_ge_75pct,1985,1990,1985_1990,0,consolidation_rate_initial_pasture,24889,16421,497776400.4434159,328417621.74968463,0.6597693692532077,0.024978618067512098,0.0948335121939946,0.0,0.0,0.0,0.0,0.0011035955795585203,0.04989476068879784,0.5228774120999695,1.0
hex20k_canonical,sensitivity_ge_75pct,1985,1990,1985_1990,0,replenishment_rate_initial_native,24889,24885,497776400.4434159,497696401.2681242,0.9998392869263782,0.055679969771847304,0.09329571195044403,0.0,0.0,0.0,0.005999449357502428,0.07613151740645152,0.19040167888973286,0.39996389773723134,1.0
hex20k_canonical,sensitivity_ge_75pct,1985,1990,1985_1990,0,nat_tmp_intensity_initial_native,24889,24885,497776400.4434159,497696401.2681242,0.9998392869263782,0.004908708773483446,0.024995001517347626,0.0,0.0,0.0,0.0,0.0,0.004683249641022812,0.11809362792466914,0.6613392092440042
hex20k_canonical,primary_ge_50pct,1990,1995,1990_1995,0,consolidation_density_per_10kha,24889,24889,497776400.4434159,497776400.4434159,1.0,32.92113897063326,130.69057230550757,0.0,0.0,0.0,0.0,0.2187795922157547,56.10260491135623,707.2389146735031,2440.86479383603
hex20k_canonical,primary_ge_50pct,1990,1995,1990_1995,0,replenishment_density_per_10kha,24889,24889,497776400.4434159,497776400.4434159,1.0,338.58012802860804,526.656263712051,0.0,0.0,0.04444925100268896,79.6324084554816,486.0327373421794,1055.616995830768,2267.1697742506763,5431.1449881238295
hex20k_canonical,primary_ge_50pct,1990,1995,1990_1995,0,nat_tmp_density_per_10kha,24889,24889,497776400.4434159,497776400.4434159,1.0,23.727494328430424,131.94586561892456,0.0,0.0,0.0,0.0,0.0,18.55907289756682,677.0051582750597,3433.684026793611
hex20k_canonical,primary_ge_50pct,1990,1995,1990_1995,0,net_cr_balance_density_per_10kha,24889,24889,497776400.4434159,497776400.4434159,1.0,-305.65898905797474,544.1941020405599,-5428.476627734633,-1035.6573716136088,-449.3555981998524,-48.8713945439755,0.0,0.0,526.9045351518181,2358.0883258794124
hex20k_canonical,primary_ge_50pct,1990,1995,1990_1995,0,cr_balance_index,24889,18713,497776400.4434159,374257286.5680661,0.7518582364183602,-0.8364243696711781,0.42245346246889365,-1.0,-1.0,-1.0,-1.0,-0.9798804874014171,-0.37862551759902413,0.9061252752112036,1.0
hex20k_canonical,primary_ge_50pct,1990,1995,1990_1995,0,consolidation_rate_initial_pasture,24889,17871,497776400.4434159,357417406.146045,0.7180280258920672,0.027889118816612827,0.0971340949906507,0.0,0.0,0.0,0.0,0.0032499710612803145,0.06514063478943712,0.519528190898104,1.0
hex20k_canonical,primary_ge_50pct,1990,1995,1990_1995,0,replenishment_rate_initial_native,24889,24884,497776400.4434159,497676401.01979774,0.999799107744905,0.05722556603665394,0.08877823704496537,0.0,0.0,4.654582639478339e-06,0.011486913196921326,0.08695500359466665,0.17587060750513328,0.38735329185611395,0.8237510699466192
hex20k_canonical,primary_ge_50pct,1990,1995,1990_1995,0,nat_tmp_intensity_initial_native,24889,24884,497776400.4434159,497676401.01979774,0.999799107744905,0.004341242785894097,0.023338264924866556,0.0,0.0,0.0,0.0,0.0,0.004571555128524095,0.10619627205980807,0.5850801283844504
hex20k_canonical,sensitivity_ge_25pct,1990,1995,1990_1995,0,consolidation_density_per_10kha,24889,24889,497776400.4434159,497776400.4434159,1.0,32.92113897063326,130.69057230550757,0.0,0.0,0.0,0.0,0.2187795922157547,56.10260491135623,707.2389146735031,2440.86479383603
hex20k_canonical,sensitivity_ge_25pct,1990,1995,1990_1995,0,replenishment_density_per_10kha,24889,24889,497776400.4434159,497776400.4434159,1.0,338.58012802860804,526.656263712051,0.0,0.0,0.04444925100268896,79.6324084554816,486.0327373421794,1055.616995830768,2267.1697742506763,5431.1449881238295
hex20k_canonical,sensitivity_ge_25pct,1990,1995,1990_1995,0,nat_tmp_density_per_10kha,24889,24889,497776400.4434159,497776400.4434159,1.0,23.727494328430424,131.94586561892456,0.0,0.0,0.0,0.0,0.0,18.55907289756682,677.0051582750597,3433.684026793611
hex20k_canonical,sensitivity_ge_25pct,1990,1995,1990_1995,0,net_cr_balance_density_per_10kha,24889,24889,497776400.4434159,497776400.4434159,1.0,-305.65898905797474,544.1941020405599,-5428.476627734633,-1035.6573716136088,-449.3555981998524,-48.8713945439755,0.0,0.0,526.9045351518181,2358.0883258794124
hex20k_canonical,sensitivity_ge_25pct,1990,1995,1990_1995,0,cr_balance_index,24889,18713,497776400.4434159,374257286.5680661,0.7518582364183602,-0.8364243696711781,0.42245346246889365,-1.0,-1.0,-1.0,-1.0,-0.9798804874014171,-0.37862551759902413,0.9061252752112036,1.0
hex20k_canonical,sensitivity_ge_25pct,1990,1995,1990_1995,0,consolidation_rate_initial_pasture,24889,17871,497776400.4434159,357417406.146045,0.7180280258920672,0.027889118816612827,0.0971340949906507,0.0,0.0,0.0,0.0,0.0032499710612803145,0.06514063478943712,0.519528190898104,1.0
hex20k_canonical,sensitivity_ge_25pct,1990,1995,1990_1995,0,replenishment_rate_initial_native,24889,24884,497776400.4434159,497676401.01979774,0.999799107744905,0.05722556603665394,0.08877823704496537,0.0,0.0,4.654582639478339e-06,0.011486913196921326,0.08695500359466665,0.17587060750513328,0.38735329185611395,0.8237510699466192
