grid_code,t0,t1,interval,diagnostic_interval,cells,analysis_support_ha,consolidation_ha,replenishment_ha,nat_tmp_endpoint_ha,gross_cr_activity_ha,net_cr_balance_ha,aggregate_cr_balance_index,aggregate_consolidation_rate,aggregate_replenishment_rate,aggregate_nat_tmp_intensity
hex10k_base,2005,2010,2005_2010,0,56520,497985589.45740026,2826209.68942029,10058378.342347737,945228.9925515818,12884588.031768028,-7232168.652927447,-0.5613038333158912,0.027435386309059676,0.029140848602812453,0.002738490642270405
hex10k_base,2010,2015,2010_2015,0,56520,497985589.4574039,4974830.959017381,8697881.460519243,1362413.687983024,13672712.419536624,-3723050.501501862,-0.27229787237988573,0.04659532292273335,0.02586771276078798,0.0040518517183846265
hex10k_base,2015,2020,2015_2020,0,56520,497985589.45740193,3916642.6754453634,9016975.447499314,740593.7583962427,12933618.122944677,-5100332.772053951,-0.3943469432583438,0.03688647326177365,0.027384352740350944,0.002249166678484127
hex10k_base,2020,2025,2020_2025,1,56520,497985589.4574002,2086430.759373194,10039041.754997684,681864.7879746914,12125472.514370877,-7952610.99562449,-0.6558598839096133,0.019562289062579515,0.03127632921185575,0.0021243290054104953
hex20k_shift,1985,1990,1985_1990,0,29396,497987485.7501774,1450272.8350216537,16428016.632695742,1401990.0010273424,17878289.467717394,-14977743.797674088,-0.8377615668836336,0.029571406925970486,0.03960923435460229,0.003380307663128332
hex20k_shift,1990,1995,1990_1995,0,29396,497987485.7501577,1638971.8392853723,16854290.994872358,1181108.9178961155,18493262.83415773,-15215319.155586986,-0.8227493056273302,0.024918743175391795,0.04250291193130976,0.0029785037136178475
hex20k_shift,1995,2000,1995_2000,0,29396,497987485.75017536,1809759.3844763432,15647059.283980723,1224723.8815599452,17456818.66845707,-13837299.89950438,-0.7926587405359924,0.022740090790433744,0.04131903102462416,0.0032341159536975555
hex20k_shift,2000,2005,2000_2005,0,29396,497987485.75015795,3504538.647534378,16926301.789027542,2294794.530543119,20430840.43656192,-13421763.141493164,-0.6569364184096073,0.03808409585510607,0.04662695359481728,0.006321479991254598
hex20k_shift,2005,2010,2005_2010,0,29396,497987485.7501617,2826220.818371525,10058416.120462572,945231.9131621853,12884636.938834097,-7232195.302091047,-0.5613037710277519,0.02743539509159838,0.029140844989280303,0.002738488478751996
hex20k_shift,2010,2015,2010_2015,0,29396,497987485.7501649,4974848.749162888,8697913.84171178,1362418.9095293838,13672762.590874668,-3723065.092548892,-0.27229794036164284,0.04659532052174794,0.025867708612266088,0.004051851513007346
hex20k_shift,2015,2020,2015_2020,0,29396,497987485.75016624,3916657.484939148,9017009.314170307,740596.7637438609,12933666.799109455,-5100351.829231158,-0.3943469325792699,0.036886478965897876,0.02738434917924477,0.0022491670655711915
hex20k_shift,2020,2025,2020_2025,1,29396,497987485.7501764,2086438.5564117357,10039078.809999624,681866.8018933241,12125517.36641136,-7952640.253587889,-0.6558598708222817,0.01956229102929741,0.03127632298240705,0.002124327015518007
hex40k_base,1985,1990,1985_1990,0,15309,497988726.4449595,1450276.748661688,16428056.302465394,1401993.7368941219,17878333.051127084,-14977779.553803707,-0.8377615245767825,0.02957141041642918,0.03960923213666217,0.003380308318668955
hex40k_base,1990,1995,1990_1995,0,15309,497988726.4449618,1638976.233725192,16854333.033857983,1181111.672517141,18493309.267583176,-15215356.80013279,-0.8227492754259893,0.024918747170299512,0.04250291281774998,0.0029785032931399186
hex40k_base,1995,2000,1995_2000,0,15309,497988726.4449544,1809763.7416997913,15647099.704536684,1224726.6893946542,17456863.446236476,-13837335.962836893,-0.7926587731784133,0.022740088403867233,0.041319035619708226,0.0032341153733961886
hex40k_base,2000,2005,2000_2005,0,15309,497988726.4449558,3504547.4578944407,16926345.240971114,2294800.4804977956,20430892.698865555,-13421797.783076674,-0.6569364335128602,0.03808409505301721,0.04662695828471175,0.006321480789421042
hex40k_base,2005,2010,2005_2010,0,15309,497988726.44495493,2826227.217982217,10058441.041855117,945234.3854939077,12884668.259837335,-7232213.8238729,-0.5613038440746168,0.02743538774841881,0.029140845396642925,0.0027384888947152917
hex40k_base,2010,2015,2010_2015,0,15309,497988726.4449605,4974861.563562865,8697935.6598095,1362422.493278746,13672797.223372366,-3723074.0962466346,-0.27229790915661267,0.04659532279665312,0.025867709763693528,0.004051852187698774
hex40k_base,2015,2020,2015_2020,0,15309,497988726.44495356,3916666.853404234,9017030.91171109,740598.6589289106,12933697.765115324,-5100364.058306855,-0.39434693394981907,0.0368864741235025,0.027384347360273516,0.0022491672845794306
hex40k_base,2020,2025,2020_2025,1,15309,497988726.44496095,2086442.94801928,10039104.396378502,681868.8831724853,12125547.344397783,-7952661.448359222,-0.6558599972836271,0.019562283075254684,0.031276325699871044,0.0021243282700001823
